,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
7462,BRK,74,2017-03-28,Home,PHI,L,101,106,38,94,0.404,9,32,0.281,16,24,0.667,13,50,22,11,5,13,19,39,91,0.429,10,33,0.303,18,21,0.857,12,53,21,7,9,16,23
7562,BRK,75,2017-03-30,Away,DET,L,89,90,35,92,0.38,10,31,0.323,9,12,0.75,8,46,17,4,4,12,16,36,86,0.419,7,18,0.389,11,17,0.647,11,53,20,6,7,16,11
7662,BRK,76,2017-04-01,Home,ORL,W,121,111,50,94,0.532,8,31,0.258,13,16,0.813,9,44,26,8,5,11,15,45,91,0.495,10,25,0.4,11,15,0.733,11,42,26,9,2,14,15
7762,BRK,77,2017-04-02,Home,ATL,W,91,82,32,82,0.39,10,33,0.303,17,20,0.85,8,51,21,11,6,19,22,30,80,0.375,7,24,0.292,15,23,0.652,8,44,19,9,4,19,19
7862,BRK,78,2017-04-04,Away,PHI,W,141,118,48,75,0.64,16,31,0.516,29,33,0.879,1,36,36,9,5,17,18,43,97,0.443,12,38,0.316,20,27,0.741,14,36,32,7,4,11,22
7962,BRK,79,2017-04-06,Away,ORL,L,107,115,40,87,0.46,11,30,0.367,16,22,0.727,7,39,21,7,6,14,19,42,90,0.467,9,25,0.36,22,26,0.846,9,48,24,9,6,13,20
8062,BRK,80,2017-04-08,Home,CHI,W,107,106,39,92,0.424,10,31,0.323,19,24,0.792,10,44,24,15,6,13,13,40,90,0.444,11,24,0.458,15,17,0.882,11,52,14,6,6,17,20
8163,BRK,81,2017-04-10,Away,BOS,L,105,114,31,86,0.36,8,31,0.258,35,39,0.897,9,49,18,8,6,12,19,41,91,0.451,14,38,0.368,18,21,0.857,9,51,31,7,4,13,23
8262,BRK,82,2017-04-12,Away,CHI,L,73,112,28,86,0.326,3,33,0.091,14,18,0.778,10,48,17,8,3,18,16,41,95,0.432,14,30,0.467,16,21,0.762,14,62,28,15,4,12,18
3563,CHO,35,2017-01-02,Away,CHI,L,111,118,41,83,0.494,9,19,0.474,20,22,0.909,7,34,24,7,3,14,19,42,90,0.467,7,23,0.304,27,29,0.931,15,45,23,10,9,10,17
3663,CHO,36,2017-01-04,Home,OKC,W,123,112,37,80,0.463,9,24,0.375,40,49,0.816,10,43,25,8,10,11,21,42,96,0.438,9,30,0.3,19,23,0.826,14,51,22,6,3,14,31
3763,CHO,37,2017-01-05,Away,DET,L,114,115,37,91,0.407,10,26,0.385,30,34,0.882,8,49,20,4,5,5,23,39,97,0.402,10,28,0.357,27,32,0.844,16,56,24,2,6,7,23
3863,CHO,38,2017-01-07,Away,SAS,L,85,102,30,75,0.4,4,21,0.19,21,25,0.84,8,48,18,5,4,15,14,36,89,0.404,13,34,0.382,17,20,0.85,9,43,29,9,8,7,21
3963,CHO,39,2017-01-10,Away,HOU,L,114,121,44,92,0.478,19,43,0.442,7,9,0.778,5,43,30,3,4,11,21,40,82,0.488,17,39,0.436,24,33,0.727,6,44,25,8,5,10,17
4063,CHO,40,2017-01-13,Away,PHI,L,93,102,28,85,0.329,6,23,0.261,31,32,0.969,16,41,11,12,2,19,19,36,76,0.474,14,38,0.368,16,20,0.8,10,38,26,12,9,20,27
41102,CHO,41,2017-01-16,Away,BOS,L,98,108,38,86,0.442,8,25,0.32,14,17,0.824,10,42,25,4,4,11,15,42,84,0.5,15,39,0.385,9,10,0.9,8,44,29,6,3,12,11
4265,CHO,42,2017-01-18,Home,POR,W,107,85,41,87,0.471,11,26,0.423,14,17,0.824,8,51,28,11,7,12,13,33,94,0.351,8,31,0.258,11,11,1,15,50,18,10,12,15,11
4363,CHO,43,2017-01-20,Home,TOR,W,113,78,40,80,0.5,12,25,0.48,21,25,0.84,11,51,24,9,4,14,13,29,86,0.337,7,30,0.233,13,14,0.929,8,33,10,7,5,12,20
4463,CHO,44,2017-01-21,Home,BRK,W,112,105,39,82,0.476,14,30,0.467,20,22,0.909,6,46,26,7,4,13,18,38,88,0.432,17,41,0.415,12,15,0.8,4,40,30,9,3,12,17
4563,CHO,45,2017-01-23,Home,WAS,L,99,109,35,90,0.389,8,32,0.25,21,25,0.84,12,43,24,7,5,8,19,43,80,0.538,10,25,0.4,13,17,0.765,5,47,22,5,3,14,23
4663,CHO,46,2017-01-25,Home,GSW,L,103,113,38,92,0.413,7,23,0.304,20,21,0.952,12,43,26,6,6,14,18,39,82,0.476,11,28,0.393,24,27,0.889,5,41,23,7,14,12,19
4763,CHO,47,2017-01-27,Away,NYK,L,107,110,40,90,0.444,13,37,0.351,14,15,0.933,9,47,18,5,4,13,16,46,96,0.479,9,27,0.333,9,13,0.692,11,48,22,8,9,10,18
4863,CHO,48,2017-01-28,Home,SAC,L,106,109,36,75,0.48,12,37,0.324,22,24,0.917,7,34,24,4,7,11,25,41,79,0.519,11,27,0.407,16,26,0.615,8,38,27,6,5,9,23
4963,CHO,49,2017-01-31,Away,POR,L,98,115,33,83,0.398,11,31,0.355,21,25,0.84,3,42,20,3,6,9,13,42,93,0.452,11,31,0.355,20,23,0.87,11,51,23,8,2,8,18
5063,CHO,50,2017-02-01,Away,GSW,L,111,126,39,88,0.443,9,31,0.29,24,26,0.923,6,45,33,4,3,10,14,47,96,0.49,21,48,0.438,11,14,0.786,9,47,35,9,13,10,18
51102,CHO,51,2017-02-04,Away,UTA,L,98,105,35,82,0.427,13,33,0.394,15,18,0.833,3,38,20,7,3,9,20,38,81,0.469,13,33,0.394,16,24,0.667,11,51,16,5,4,13,18
5265,CHO,52,2017-02-07,Home,BRK,W,111,107,40,102,0.392,7,26,0.269,24,29,0.828,12,51,19,6,7,7,17,39,86,0.453,12,36,0.333,17,21,0.81,4,45,26,3,8,15,23
5363,CHO,53,2017-02-09,Home,HOU,L,95,107,37,85,0.435,8,26,0.308,13,14,0.929,10,47,26,8,5,21,17,39,87,0.448,13,40,0.325,16,20,0.8,9,42,22,13,5,17,19
5463,CHO,54,2017-02-11,Home,LAC,L,102,107,37,85,0.435,13,37,0.351,15,20,0.75,8,40,24,6,4,8,20,40,85,0.471,14,34,0.412,13,20,0.65,10,50,26,3,6,13,21
5563,CHO,55,2017-02-13,Home,PHI,L,99,105,34,78,0.436,11,31,0.355,20,26,0.769,3,33,19,11,5,15,17,41,86,0.477,12,33,0.364,11,17,0.647,9,51,24,9,5,18,21
5663,CHO,56,2017-02-15,Away,TOR,L,85,90,32,76,0.421,13,38,0.342,8,9,0.889,5,44,21,9,6,17,18,32,84,0.381,12,32,0.375,14,19,0.737,8,46,19,8,4,14,13
5763,CHO,57,2017-02-23,Away,DET,L,108,114,38,92,0.413,7,30,0.233,25,26,0.962,5,50,19,5,7,7,15,44,107,0.411,15,37,0.405,11,12,0.917,10,57,29,5,2,8,17
5863,CHO,58,2017-02-25,Away,SAC,W,99,85,34,85,0.4,14,38,0.368,17,18,0.944,13,50,26,10,3,10,13,31,79,0.392,11,28,0.393,12,15,0.8,9,41,18,3,6,14,19
5963,CHO,59,2017-02-26,Away,LAC,L,121,124,38,80,0.475,18,40,0.45,27,30,0.9,5,43,16,1,1,16,32,45,97,0.464,10,32,0.313,24,34,0.706,15,47,27,14,3,9,25
6063,CHO,60,2017-02-28,Away,LAL,W,109,104,38,85,0.447,16,39,0.41,17,24,0.708,11,45,25,3,5,12,11,41,84,0.488,12,32,0.375,10,13,0.769,6,39,22,9,5,14,23
61102,CHO,61,2017-03-02,Away,PHO,L,103,120,35,89,0.393,10,34,0.294,23,28,0.821,9,34,19,14,1,16,20,46,77,0.597,7,19,0.368,21,25,0.84,4,42,30,8,7,18,23
6265,CHO,62,2017-03-04,Away,DEN,W,112,102,41,90,0.456,16,27,0.593,14,17,0.824,13,43,25,8,6,5,18,36,80,0.45,9,30,0.3,21,25,0.84,11,45,21,5,3,13,20
